word,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
outraged,0.964,0,0,0,0,0,0,0
brutality,0.959,0,0,0.922,0,0,0,0
hatred,0.953,0,0.680,0.703,0,0.641,0,0
hateful,0.940,0,0.703,0.578,0,0.575,0,0
terrorize,0.939,0,0,0.922,0,0.781,0,0
violently,0.938,0,0.609,0.828,0,0.719,0,0
infuriated,0.938,0,0,0,0,0,0,0
furious,0.929,0,0.469,0,0,0,0,0
furiously,0.927,0,0,0,0,0,0,0
enraged,0.927,0,0,0,0,0,0,0
screwyou,0.924,0,0,0,0,0,0,0
murderer,0.922,0,0.820,0.953,0,0.877,0,0
fury,0.922,0,0,0.672,0,0.406,0,0
execution,0.917,0,0,0.844,0,0.859,0,0.328
angered,0.916,0,0,0,0,0,0,0
savagery,0.915,0,0,0.875,0,0,0,0
slaughtering,0.914,0,0.828,0.875,0,0.844,0.625,0
veryangry,0.913,0,0,0,0,0,0,0
assassinate,0.912,0,0,0.906,0,0,0,0
annihilation,0.912,0,0,0.875,0,0.828,0,0
fuckoff,0.912,0,0,0,0,0,0,0
rage,0.911,0,0,0,0,0,0,0
loathe,0.909,0,0.617,0,0,0,0,0
fucktard,0.906,0,0,0,0,0,0,0
roadrage,0.906,0,0,0,0,0,0,0
damnation,0.906,0,0,0.812,0,0.750,0,0
homicidal,0.906,0,0,0.959,0,0,0,0
furor,0.900,0,0,0,0,0,0,0
hostile,0.898,0,0.609,0.688,0,0,0,0
annihilate,0.898,0,0,0.953,0,0,0,0
murder,0.897,0,0.839,0.906,0,0.828,0.617,0
raging,0.896,0,0.484,0.641,0,0,0,0
sopissed,0.894,0,0,0,0,0,0,0
infuriates,0.894,0,0,0,0,0,0,0
pissed,0.894,0,0,0,0,0,0,0
rape,0.894,0,0.906,0.870,0,0.875,0,0
ferocious,0.894,0,0.422,0.667,0,0,0,0
vengeful,0.894,0,0,0.625,0,0,0,0
obliterated,0.894,0,0,0.800,0,0,0,0
explosive,0.894,0.523,0,0.859,0,0,0.883,0
killing,0.893,0,0,0.906,0,0.812,0,0
combative,0.891,0,0,0.625,0,0,0,0
vengeance,0.886,0,0,0.844,0,0,0,0
gofuckyourself,0.886,0,0,0,0,0,0,0
torment,0.885,0,0,0.806,0,0.828,0,0
wrath,0.885,0,0,0.609,0,0,0,0
vicious,0.884,0,0.719,0,0,0,0,0
massacre,0.882,0,0.883,0.911,0,0.931,0,0
threatening,0.882,0,0.555,0.875,0,0,0,0
abhorrent,0.875,0,0.680,0.672,0,0,0,0
bloodthirsty,0.875,0,0.852,0.922,0,0,0,0
pissoff,0.875,0,0,0,0,0,0,0
fighting,0.868,0,0,0,0,0,0,0
attacking,0.865,0,0.547,0.859,0,0.531,0.648,0
