word,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
aha,0,1,0,0,0,0,1,0
argh,1,0,0,0,0,0,0,0
blimey,0,1,0,1,0,0,1,0
bravo,0,0,0,0,1,0,0,0
bummer,0,0,0,0,0,1,0,0
bwah,0,0,1,0,0,0,1,0
cheers,0,0,0,0,1,0,0,0
crikey,0,1,0,1,0,0,1,0
darnit,1,0,0,0,0,0,0,0
darn,1,0,0,0,0,0,0,0
duh,0,0,1,0,0,0,0,0
Eek,0,0,1,0,0,0,1,0
eureka,0,1,0,0,1,0,1,0
fiddlesticks,1,0,0,0,0,0,0,0
fudge,1,0,0,0,0,0,0,0
gadzooks,0,1,0,0,0,0,1,0
gosh,0,1,0,0,0,0,1,0
dammit,1,0,0,0,0,0,0,0
hallelujah,0,0,0,0,1,0,0,0
heavens,0,1,0,1,0,0,1,0
hooray,0,0,0,0,1,0,0,0
huh,0,0,0,1,0,0,1,0
hurrah,0,0,0,0,1,0,0,0
jeepers,0,1,0,1,0,0,1,0
mercy,0,0,1,1,0,0,1,0
oh,0,0,1,1,0,1,0,0
ouch,0,0,1,1,0,0,1,0
phew,0,0,0,0,0,0,1,0
rats,1,0,1,0,0,0,0,0
shoot,1,0,0,0,0,0,1,0
shucks,1,0,0,0,0,0,0,0
goodness,0,0,0,0,1,0,1,0
heck,1,0,0,0,0,0,1,0
uggh,0,0,1,0,0,0,0,0
ugh,0,0,1,0,0,0,0,0
whew,0,0,0,0,0,0,1,0
whoops,0,0,0,1,0,0,1,0
yikes,0,0,1,1,0,0,1,0
yippee,0,0,0,0,1,0,0,0
Ew,0,0,1,0,0,0,0,0
Eeww,0,0,1,0,0,0,0,0
Yucks,0,0,1,0,0,0,0,0
Whatever,0,0,1,0,0,0,0,0
fuck,1,0,1,0,0,0,1,0
Yaay,0,0,0,0,1,0,0,0
Wooh,0,0,0,0,1,0,1,0
Yay,0,0,0,0,1,0,0,0
Wow,0,0,0,0,0,0,1,0
Sigh,0,0,1,0,0,0,0,0
pfft,0,0,1,0,0,0,0,0
woah,0,0,0,0,0,0,1,0
shit,0,0,1,0,0,0,1,0
jeez,1,0,0,0,0,0,0,0
geez,1,0,0,0,0,0,0,0
tsk,1,0,0,0,0,0,0,0
daamn,1,0,0,0,0,0,1,0
damn,1,0,0,0,0,0,1,0
omg,0,0,0,0,1,0,1,0
lol,0,0,1,0,1,0,1,0
rofl,0,0,0,0,1,0,0,0
lmao,0,0,0,0,1,0,0,0
wtf,1,0,0,0,0,0,1,0
omfg,0,0,0,0,0,0,1,0
omg,0,0,0,0,0,0,1,0
fml,0,0,1,0,0,0,0,0
nt,0,0,0,0,1,0,0,0
grr,1,0,0,0,0,0,0,0
oops,0,0,1,0,0,0,0,0
dafaq,1,0,1,0,0,0,1,0
